№,Название стихотворения,H бит,Число начальных букв с нулевыми частотами,Количество слов в стихотворении,Частоты слов на начальные буквы в,Частоты слов на начальные буквы н,Частоты слов на начальные буквы с
91,Эпиграмма,3.6550,14,28,0.0000,0.2143,0.0714
92,"""Больны вы, дядюшка? Нет мочи,",3.4273,17,21,0.0952,0.1429,0.1429
93,Надпись к беседке,3.6468,14,31,0.0968,0.0968,0.0968
94,"Вот Виля – он любовью дышет,",3.1556,19,16,0.1875,0.0000,0.0625
95,На гр. А. К. Разумовского,3.8029,13,30,0.0667,0.1667,0.1000
96,На Баболовский дворец,3.6060,15,27,0.1111,0.1481,0.0741
97,"Пожарский, Минин, Гермоген,",3.0391,20,14,0.0000,0.0714,0.2143
98,Эпиграмма на смерть стихотворца,3.6683,15,24,0.0417,0.0833,0.1667
99,Портрет,3.3852,16,33,0.2424,0.0303,0.0606
100,На Пучкову,3.1602,18,21,0.1429,0.1429,0.1429
101,Твой и мой,3.7029,13,51,0.0196,0.1373,0.0588
102,"Тошней идиллии и холодней чем ода,",3.9777,11,45,0.0222,0.1333,0.0444
103,Стихотворение 104,1.0000,27,2,0.0000,0.0000,0.5000
104,Стихотворение 105,2.1281,24,7,0.4286,0.1429,0.1429
105,К Каверину,4.1845,6,159,0.0943,0.0755,0.1258
106,Элегия,4.0921,5,201,0.1294,0.0846,0.1045
107,К молодой вдове,3.9362,9,149,0.1275,0.1007,0.1275
108,Безверие,4.0466,4,583,0.1132,0.1046,0.1269
109,К Дельвигу,4.1097,6,246,0.1016,0.0935,0.0732
110,Стансы. (Из Вольтера),3.9852,7,157,0.0892,0.0764,0.0955
111,Послание В. Л. Пушкину,4.1293,4,378,0.0847,0.0794,0.1270
112,Письмо к Лиде,3.9009,9,90,0.0667,0.0778,0.1222
113,Князю А. М. Горчакову,4.1636,3,389,0.1028,0.1054,0.1080
114,В альбом,3.6284,14,26,0.1923,0.0385,0.1154
115,В альбом Илличевскому,3.9919,8,99,0.0606,0.1313,0.1414
116,Товарищам,4.1821,5,142,0.1056,0.1056,0.0704
117,Надпись на стене больницы,2.8855,20,18,0.0556,0.2778,0.1667
118,В альбом Пущину,3.8955,10,83,0.1205,0.0843,0.1084
119,Кюхельбекеру,3.9547,10,99,0.1010,0.0707,0.1010
120,К портрету Каверина,3.2709,18,28,0.2143,0.0714,0.0000
121,К письму,3.4686,16,23,0.0870,0.0435,0.0435
122,Сновидение,3.6501,14,46,0.1304,0.1304,0.1522
123,Она,3.8527,11,59,0.0169,0.1017,0.0847
124,Стихотворение 125,2.5850,23,6,0.1667,0.1667,0.1667
125,Есть в России город Луга,3.3231,17,23,0.0435,0.2174,0.0870
126,"Простите, верные дубравы!",3.9374,9,65,0.1538,0.0462,0.1231
127,Орлов с Истоминой в постеле,3.6136,15,32,0.1250,0.1250,0.0312
128,Стихотворение 130,3.7664,12,62,0.1129,0.0645,0.1613
129,Эпиграмма. <На Карамзина>,3.7149,12,33,0.0303,0.1212,0.0303
130,Тургеневу,3.9852,7,200,0.0500,0.1150,0.1550
131,Стихотворение 133,-0.0000,28,1,0.0000,0.0000,0.0000
132,"Не спрашивай, за чем унылой думой",3.8340,11,70,0.0571,0.1714,0.1143
133,Краев чужих неопытный любитель,3.8247,11,69,0.0870,0.1449,0.1014
134,К ней,4.0923,8,148,0.1284,0.0811,0.1149
135,Вольность. Ода,3.9799,5,390,0.1282,0.1051,0.1410
136,Не угрожай ленивцу молодому.,3.8740,11,40,0.1000,0.1750,0.0250
137,Кривцову,3.9636,9,77,0.0649,0.1299,0.0909
138,Стихотворение 140,2.7500,22,8,0.1250,0.1250,0.1250
139,Лицинию,4.0729,3,440,0.1136,0.0955,0.1068
140,Старик,3.8078,13,44,0.0909,0.0455,0.1591
141,Роза,3.6730,14,29,0.0690,0.1724,0.0345
142,Гроб Анакреона,4.1109,7,165,0.1273,0.0848,0.0909
143,Певец,3.2791,13,77,0.2468,0.0130,0.1039
144,К Морфею,3.7072,11,52,0.0192,0.0577,0.0385
145,Друзьям,3.5786,15,32,0.1562,0.0625,0.0938
146,Амур и Гименей,4.1574,4,247,0.0891,0.1053,0.1377
147,Шишкову,4.0397,5,190,0.0947,0.0895,0.1211
148,Пробуждение,3.7413,12,59,0.1695,0.0678,0.0678
149,Любопытный,3.9833,9,57,0.0702,0.1228,0.1053
150,К Каверину,3.9784,8,80,0.1125,0.0375,0.1500
151,Дельвигу,4.0378,8,140,0.0929,0.1214,0.0857
152,В. Л. Пушкину,3.9994,9,97,0.0928,0.0515,0.1443
153,Разлука,3.8604,10,93,0.1075,0.0753,0.1290
154,Стихотворение 156,1.0000,27,2,0.0000,0.0000,0.5000
155,Торжество Вакха,4.1447,2,359,0.1365,0.0780,0.0975
156,Кн. Голицыной. Посылая ей оду «Вольность»,3.6520,13,37,0.1892,0.0811,0.1351
157,Когда сожмешь ты снова руку.,4.0054,9,70,0.1143,0.1143,0.1143
158,Выздоровление,3.9959,8,168,0.1131,0.0833,0.0893
159,Жуковскому,3.7376,11,89,0.1573,0.1124,0.1124
160,К портрету Жуковского,3.5933,15,25,0.1200,0.0000,0.1200
161,<На Каченовского.>,3.6287,15,36,0.0833,0.1389,0.0278
162,"Могущий бог садов – паду перед тобой,",3.7075,12,51,0.0980,0.0588,0.0980
163,"«Дубравы, где в тиши свободы…»",4.0011,9,90,0.1333,0.0444,0.1111
164,Мечтателю,3.9230,9,133,0.0902,0.1128,0.0827
165,К Н. Я. Плюсковой,4.1441,6,82,0.0610,0.1220,0.1341
166,Стихотворение 168,-0.0000,28,1,0.0000,0.0000,0.0000
167,"Счастлив, кто близ тебя, любовник упоенный,",3.4633,17,21,0.0476,0.0476,0.1429
168,"И я слыхал, что божий свет",4.0384,9,81,0.0988,0.1481,0.0741
169,"Как сладостно!.. но, боги, как опасно",3.6436,14,35,0.2286,0.0286,0.0571
170,Сказки,4.2248,5,143,0.0909,0.0979,0.1119
171,Прелестнице,3.8813,11,118,0.0763,0.1695,0.0932
172,К Чедаеву,3.9563,10,81,0.0988,0.1235,0.1235
173,Стихотворения 1819 г,3.6075,15,29,0.1379,0.1034,0.1034
174,Элегия,3.8388,12,28,0.1071,0.1786,0.1071
175,27 мая 1819,3.5228,14,37,0.2162,0.0541,0.1892
176,<На стурдзу.>,2.9056,19,16,0.0625,0.1250,0.3750
177,<O. Массон.>,3.7858,11,79,0.0886,0.1519,0.1266
178,<Мансурову.>,3.8604,13,41,0.1220,0.0976,0.0976
179,Позволь душе моей открыться пред тобою,4.0178,10,81,0.0370,0.0864,0.0864
180,Дорида,4.0295,9,60,0.1333,0.0833,0.0500
181,N. N. <В. В. Энгельгардту>,4.1004,6,124,0.0806,0.0968,0.1452
182,Орлову,4.0809,7,201,0.0746,0.0846,0.1592
183,К Щербинину,4.1641,6,137,0.1168,0.0876,0.0657
184,Деревня,4.1525,5,320,0.1031,0.0906,0.0938
185,"Нет, нет, напрасны ваши пени,",3.9766,9,69,0.0870,0.1884,0.0435
186,Домовому,3.8164,11,101,0.1089,0.0495,0.1386
187,<На стурдзу.>,3.1556,19,16,0.1250,0.1875,0.1875
188,<Юрьеву.>,3.7869,12,70,0.0429,0.0571,0.1429
189,Русалка,4.0208,6,240,0.1250,0.0917,0.1333
190,Недокончанная картина,3.6396,14,35,0.0857,0.1714,0.1429
191,Уединение,3.7210,14,40,0.1500,0.1000,0.0750
192,Веселый пир,3.5070,15,32,0.0938,0.0000,0.0938
193,Всеволожскому,4.1578,5,289,0.1246,0.0692,0.0900
194,"Там у леска, за ближнею долиной,",4.1000,6,138,0.1087,0.0507,0.1377
195,"Всё призрак, суета,",3.8121,11,44,0.1591,0.1136,0.1136
196,Платоническая любовь,3.9771,7,177,0.0847,0.1017,0.1017
197,<Записка к Жуковскому.>,3.8977,9,73,0.0137,0.1233,0.1644
198,Стансы Толстому,4.1856,6,94,0.0426,0.0851,0.0851
199,<На Колосову.>,3.4511,15,28,0.1786,0.1786,0.0000
200,Возрождение,3.6551,13,47,0.1489,0.1064,0.1489
201,"Напрасно, милый друг, я мыслил утаить",3.6901,13,32,0.0625,0.0938,0.0312
202,"""Tien et mien, – dit Lafontaine —",3.6944,12,36,0.0556,0.0833,0.0000
203,Послание к кн. Горчакову,4.2380,4,234,0.0769,0.0598,0.0983
204,Недавно тихим вечерком,3.8854,12,57,0.0877,0.1053,0.0702
205,Стихотворение 207,1.5850,26,3,0.0000,0.0000,0.3333
206,Лиле,3.4830,16,29,0.0000,0.1034,0.1034
207,История стихотворца,3.3603,17,23,0.1304,0.0000,0.1739
208,Мадригал м…ой,3.0420,19,26,0.2308,0.1923,0.0385
209,Имянины,3.6404,14,31,0.0968,0.0323,0.0000
210,Стихотворение 212,1.5850,26,3,0.0000,0.0000,0.0000
211,Что можем на скоро стихами молвить ей?,3.4702,16,24,0.1250,0.0833,0.1667
212,<В альбом Сосницкой.>,3.6411,14,30,0.1667,0.0667,0.1667
213,<Бакуниной.>,3.4397,15,27,0.2222,0.1481,0.0370
214,<На Аракчеева>,3.9959,10,36,0.0278,0.0278,0.0556
215,<На кн. А. Н. Голицына.>,3.4861,15,31,0.1290,0.1935,0.1290
216,<Нимфодоре Семеновой.>,3.1464,19,20,0.0000,0.0500,0.1500
217,Добрый совет,3.7989,11,53,0.1509,0.1132,0.0943
218,Ты и я,4.1446,7,111,0.0631,0.0631,0.1081
219,<Записка к Жуковскому.>,3.4473,17,23,0.0000,0.1304,0.0435
220,Добрый человек,3.7483,13,31,0.0968,0.0968,0.0968
221,<К портрету Дельвига.>,3.4898,15,37,0.1081,0.1892,0.1351
222,<К портрету Чедаева.>,3.3937,16,26,0.1923,0.0385,0.0385
223,Стихотворение 225,1.0000,27,2,0.0000,0.0000,0.5000
224,Дориде,3.5266,15,37,0.1081,0.2162,0.0541
225,Мне бой знаком – люблю я звук мечей;,3.6999,13,46,0.1522,0.0652,0.1087
226,Юрьеву,4.1420,7,121,0.0909,0.0992,0.0992
227,"Я видел Азии бесплодные пределы,",4.1335,8,68,0.1176,0.0441,0.0441
228,Аптеку позабудь ты для венков лавровых,3.5466,17,13,0.0769,0.1538,0.0000
229,Увы! за чем она блистает,3.9786,9,75,0.0800,0.1333,0.1067
230,Стихотворение 232,-0.0000,28,1,0.0000,0.0000,0.0000
231,Зачем безвремянную скуку,4.0683,10,49,0.0612,0.0408,0.0612
232,"Мне вас не жаль, года весны моей,",3.6283,11,64,0.1875,0.1406,0.0469
233,Погасло дневное светило;,4.0772,8,200,0.1300,0.0600,0.0750
234,Дочери Карагеоргия,3.9931,11,94,0.0638,0.0851,0.0851
235,К портрету Вяземского,3.4885,15,26,0.1538,0.0385,0.2308
236,Черная шаль,4.2600,5,182,0.0714,0.0659,0.0549
237,"Когда б писать ты начал с дуру,",3.0590,20,21,0.0952,0.1905,0.0952
238,<На Каченовского.>,3.8014,13,33,0.0909,0.0606,0.0909
239,Как брань тебе не надоела?,3.2728,18,21,0.0000,0.1429,0.0476
240,Эпиграмма. <На гр. Ф. И. Толстого>,3.9439,11,40,0.1000,0.0750,0.0500
241,Нереида,3.7503,13,35,0.1714,0.1143,0.1143
242,Редеет облаков летучая гряда;,3.9635,9,96,0.1354,0.0833,0.1146
243,Стихотворения 1821,3.4299,15,41,0.1463,0.1463,0.1707
244,Земля и море,4.0987,8,92,0.1196,0.0435,0.0652
245,Красавица перед зеркалом,3.7533,14,25,0.1200,0.0400,0.0800
246,Муза,3.8709,10,80,0.1000,0.0500,0.1375
247,"Я пережил свои желанья,",3.8087,11,48,0.0417,0.0208,0.1458
248,Война,4.1750,7,174,0.1034,0.0747,0.1092
249,Дельвигу,4.2481,5,132,0.0682,0.0985,0.0758
250,<Из письма к Гнедичу.>,4.1392,5,167,0.0898,0.0419,0.1018
251,"Наперсница моих сердечных дум,",3.6537,15,25,0.0800,0.0800,0.1200
252,Кинжал,4.1200,6,180,0.0722,0.0889,0.0889
253,Всё так же <ль> осеняют своды,4.1261,6,81,0.1728,0.0741,0.0988
254,"Я не люблю твоей Кори<ны>,",4.1079,8,54,0.0741,0.0556,0.1296
255,"""Хоть впрочем он поэт изрядный,",3.5840,15,23,0.0435,0.0435,0.0870
256,<В. Л. Давыдову>,4.2296,5,267,0.0787,0.0936,0.0974
257,Дева,3.6081,13,59,0.0678,0.2034,0.1186
258,Катенину,3.9651,10,66,0.0909,0.0455,0.0909
259,К моей чернильнице,4.0737,6,316,0.0791,0.1108,0.0791
260,Христос воскрес,4.1392,9,42,0.1190,0.0238,0.0714
261,Чедаеву,4.2035,3,501,0.0858,0.0778,0.0898
262,"Кто видел край, где роскошью природы",4.1474,5,221,0.1041,0.0407,0.1222
263,"Раззевавшись от обедни,",4.1963,5,187,0.0749,0.0535,0.1016
264,Недавно бедный музульман,4.3947,2,288,0.0903,0.0660,0.0868
265,<Вяземскому.>,3.6711,15,31,0.0968,0.0645,0.1290
266,"Эллеферия, пред тобой",3.9507,8,48,0.0833,0.0625,0.0625
267,"Примите новую тетрадь,",3.9002,10,45,0.1556,0.0889,0.0222
268,"О вы, которые любили",3.7877,12,49,0.1429,0.0612,0.1633
269,Дионея,3.9789,10,35,0.1714,0.0571,0.0286
270,Если с нежной красотой,3.7505,13,27,0.1852,0.0741,0.1111
271,<Денису Давыдову.>,3.6911,12,69,0.0725,0.0000,0.1449
272,"Вот Муза, резвая болтунья,",3.9472,10,45,0.0444,0.0444,0.0667
273,Генералу Пущину,3.6933,13,51,0.1176,0.0588,0.1569
274,«A son amant Eglesans resistance…»,3.8122,13,48,0.1042,0.1042,0.0833
275,Эпиграмма,3.1313,18,22,0.0455,0.0909,0.0455
276,«J'al posse de maоtresse honnete…»,3.6235,15,25,0.0400,0.1600,0.0400
277,Умолкну скоро я!.. Но если в день печали,3.8389,12,84,0.0476,0.0714,0.1071
278,"Мой друг, забыты мной следы минувших лет",3.9510,10,134,0.0522,0.0896,0.0970
279,Гроб Юноши,4.3125,4,202,0.0644,0.1089,0.0743
280,Тадарашка в вас влюблен,3.5101,15,27,0.1481,0.1852,0.0000
281,Наполеон,4.1172,3,468,0.1090,0.0962,0.0940
282,"Гречанка верная! не плачь, – он пал героем,",3.7842,11,62,0.1290,0.0806,0.1452
283,К Овидию,4.1621,3,617,0.0859,0.0940,0.1183
284,Приметы,4.0547,8,90,0.1333,0.0778,0.0444
285,<На Каченовского.>,3.3788,18,14,0.0714,0.0714,0.0000
286,Кокетке,4.1409,4,196,0.1173,0.0969,0.1071
287,Эпиграмма <На А. А. Давыдову.>,4.0313,10,50,0.0800,0.0800,0.0400
288,Приятелю,3.8404,12,46,0.0870,0.1522,0.0870
289,Алексееву,4.0696,7,177,0.0791,0.1299,0.0960
290,"В твою светлицу, друг мой нежный,",3.6426,14,37,0.1081,0.1351,0.1351
291,Десятая заповедь,4.1304,7,114,0.0614,0.1404,0.0965
292,Стихотворение 295,1.0000,27,2,0.0000,0.0000,0.5000
293,Баратынскому. Из Бессарабии,3.8666,11,52,0.0577,0.0769,0.1154
294,"Чугун кагульский, ты священ",3.1087,19,20,0.0000,0.0000,0.2000
295,Баратынскому,3.6421,15,19,0.0000,0.0526,0.0000
296,<На А. А. Давыдову.>,3.6811,14,45,0.0000,0.0444,0.0667
297,<НА Ланова.>,3.4817,16,28,0.0357,0.1071,0.0000
298,"У Кларисы денег мало,",3.4194,17,18,0.0556,0.0000,0.0000
299,Друзьям,4.0682,8,99,0.1111,0.0606,0.0909
300,Песнь о вещем Олеге,4.1221,4,542,0.1015,0.0867,0.0904
301,"Мой друг, уже три дня",4.0172,8,85,0.0235,0.1059,0.0941
302,Царь Никита и сорок его дочерей,4.2147,3,919,0.1066,0.1001,0.0925
303,Люблю ваш сумрак неизвестный,4.0585,7,113,0.1062,0.0973,0.0885
304,Таврида,2.2516,24,6,0.1667,0.1667,0.0000
305,I.,4.2094,5,118,0.0763,0.1017,0.1271
306,"Накажи, святой угодник,",3.1219,20,10,0.0000,0.2000,0.1000
307,"Один, один остался я.",3.8438,12,37,0.0541,0.0541,0.0811
308,<В. Ф. Раевскому.>,3.9119,9,87,0.0920,0.0805,0.1724
309,На тихих берегах Москвы,3.6521,15,27,0.1111,0.1111,0.1111
310,Гречанке,3.9968,7,126,0.1032,0.1190,0.1111
311,<Из письма к Я. Н. Толстому.>,3.9937,10,131,0.1603,0.0458,0.0840
312,<В. Ф. Раевскому.>,4.2325,6,234,0.0940,0.0769,0.0641
313,Послание цензору,4.2295,2,784,0.0638,0.1314,0.0765
314,Иностранке,3.6727,12,48,0.1250,0.1458,0.0625
315,"Наперсница волшебной старины,",4.0264,7,132,0.1288,0.0379,0.0833
316,Ф. Н. Глинке,4.1262,7,66,0.0606,0.0606,0.0606
317,Недавно я в часы свободы,4.0543,8,116,0.0776,0.0776,0.1293
318,Аделе,3.9483,10,38,0.0789,0.0526,0.0526
319,Узник,3.8801,11,70,0.1143,0.0143,0.0857
320,Стихотворение 323,1.0000,27,2,0.0000,0.0000,0.5000
321,<Из письма к В. П. Горчакову.>,3.7636,13,42,0.0952,0.0952,0.0952
322,Птичка,3.7826,13,34,0.1176,0.0882,0.1471
323,<Л. Пушкину>,3.9974,9,65,0.0769,0.0462,0.0769
324,Чиновник и поэт.,4.0717,9,92,0.1087,0.0870,0.1087
325,"""Внемли, о Гелиос, серебряным луком звенящий,",3.9885,8,134,0.0970,0.0970,0.1642
326,<М. Е. Эйхфельдт.>,3.7481,12,38,0.1316,0.1579,0.0263
327,Царское село,4.0758,7,130,0.0923,0.0231,0.1077
328,Сегодня я по утру дома,3.8668,11,56,0.0000,0.1071,0.0357
329,Жалоба,3.5858,13,42,0.1905,0.1429,0.0000
330,"Кто, волны, вас остановил,",3.7449,12,50,0.2200,0.0400,0.0600
331,Ночь,3.5789,13,52,0.0192,0.0577,0.0769
332,"Завидую тебе, питомец моря смелый,",3.6988,13,58,0.0862,0.0345,0.1379
333,<Из письма к Вигелю.>,4.0846,7,171,0.0760,0.1170,0.0994
334,Мое беспечное незнанье,4.0073,8,131,0.1298,0.1145,0.1298
335,Бывало в сладком ослепленье,3.7505,13,27,0.1111,0.1852,0.0370
336,"Надеждой сладостной младенчески дыша,",4.0346,9,103,0.0777,0.1262,0.0680
337,Придет ужасный час… твои небесны очи,3.8164,10,71,0.0563,0.1268,0.1127
338,"Вечерня отошла давно,",3.9572,7,125,0.1120,0.0400,0.0880
339,Демон,4.0193,7,97,0.1649,0.1237,0.0619
340,"Простишь ли мне ревнивые мечты,",3.9979,8,203,0.0788,0.0837,0.0788
341,«Свободы сеятель пустынный…»,3.6624,13,64,0.0781,0.0625,0.2031
342,Кн. М. А. Голицыной,4.0168,10,71,0.0986,0.0423,0.1127
343,Как наше сердце своенравно!,3.6723,12,63,0.1746,0.1270,0.0952
344,"Т<уманский><?>, Фебу и Фемиде",2.5996,22,15,0.0000,0.0000,0.0000
345,Телега жизни,3.9751,8,76,0.0921,0.1316,0.0921
346,Стихотворения 1824 г,3.7494,13,54,0.0741,0.0926,0.1111
347,«Недвижный страж дремал на царственном пороге…»,4.1498,4,320,0.1250,0.0875,0.1125
348,Давыдову,4.0269,8,84,0.0476,0.1429,0.0357
349,Зачем ты послан был и кто тебя послал?,3.7514,10,107,0.1215,0.0561,0.0654
350,Кораблю,3.8729,13,30,0.0333,0.1000,0.0667
351,"О боги мирные полей, дубров и гор,",3.8061,11,48,0.0833,0.0833,0.0417
352,<На Воронцова.>,2.4973,21,19,0.0526,0.2632,0.0000
353,<На Воронцова.>,3.5884,15,23,0.0435,0.1304,0.0000
354,Прозерпина,4.1791,5,142,0.0845,0.0493,0.0775
355,<Из письма к Вульфу.>,3.8031,11,69,0.0870,0.0580,0.0870
356,К Языкову,4.1598,5,202,0.0941,0.0545,0.0693
357,Разговор книгопродавца с поэтом,4.2099,4,838,0.1122,0.0871,0.0871
358,К морю,4.1083,7,281,0.0819,0.0641,0.0712
359,Графу Олизару,3.6989,12,104,0.1058,0.1154,0.0962
360,Коварность,3.9623,7,153,0.0719,0.1111,0.0915
361,<Из письма к Плетневу.>,3.6618,13,41,0.0000,0.0488,0.0488
362,"Как жениться задумал царский арап,",3.6748,13,32,0.0625,0.0312,0.0625
363,"О дева-роза, я в оковах;",3.8802,11,38,0.1053,0.1316,0.1053
364,"T– прав, когда так верно вас",3.9644,8,90,0.1222,0.0778,0.1333
365,"Мне жаль великия жены,",3.9336,10,85,0.0706,0.0353,0.1529
366,Виноград,3.8074,13,35,0.1143,0.0286,0.0857
367,Фонтану бахчисарайского дворца,4.1756,8,86,0.0581,0.0465,0.0930
368,"Пока супруг тебя, красавицу младую,",4.2277,6,89,0.0674,0.0787,0.0787
369,"Охотник до журнальной драки,",3.0270,20,13,0.0000,0.0000,0.2308
